,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,prizes
0,1,Wilhelm Conrad,Röntgen,1845-03-27,1923-02-10,Prussia (now Germany),DE,Lennep (now Remscheid),Germany,DE,Munich,male,"[{'year': '1901', 'category': 'physics', 'share': '1', 'motivation': '""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""', 'affiliations': [{'name': 'Munich University', 'city': 'Munich', 'country': 'Germany'}]}]"
1,2,Hendrik A.,Lorentz,1853-07-18,1928-02-04,the Netherlands,NL,Arnhem,the Netherlands,NL,,male,"[{'year': '1902', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""', 'affiliations': [{'name': 'Leiden University', 'city': 'Leiden', 'country': 'the Netherlands'}]}]"
2,3,Pieter,Zeeman,1865-05-25,1943-10-09,the Netherlands,NL,Zonnemaire,the Netherlands,NL,Amsterdam,male,"[{'year': '1902', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""', 'affiliations': [{'name': 'Amsterdam University', 'city': 'Amsterdam', 'country': 'the Netherlands'}]}]"
3,4,Henri,Becquerel,1852-12-15,1908-08-25,France,FR,Paris,France,FR,,male,"[{'year': '1903', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""', 'affiliations': [{'name': 'École Polytechnique', 'city': 'Paris', 'country': 'France'}]}]"
4,5,Pierre,Curie,1859-05-15,1906-04-19,France,FR,Paris,France,FR,Paris,male,"[{'year': '1903', 'category': 'physics', 'share': '4', 'motivation': '""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""', 'affiliations': [{'name': 'École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry)', 'city': 'Paris', 'country': 'France'}]}]"
5,6,Marie,Curie,1867-11-07,1934-07-04,Russian Empire (now Poland),PL,Warsaw,France,FR,Sallanches,female,"[{'year': '1903', 'category': 'physics', 'share': '4', 'motivation': '""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""', 'affiliations': [[]]}, {'year': '1911', 'category': 'chemistry', 'share': '1', 'motivation': '""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""', 'affiliations': [{'name': 'Sorbonne University', 'city': 'Paris', 'country': 'France'}]}]"
6,8,Lord,Rayleigh,1842-11-12,1919-06-30,United Kingdom,GB,"Langford Grove, Maldon, Essex",United Kingdom,GB,,male,"[{'year': '1904', 'category': 'physics', 'share': '1', 'motivation': '""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""', 'affiliations': [{'name': 'Royal Institution of Great Britain', 'city': 'London', 'country': 'United Kingdom'}]}]"
7,9,Philipp,Lenard,1862-06-07,1947-05-20,Hungary (now Slovakia),SK,Pressburg (now Bratislava),Germany,DE,Messelhausen,male,"[{'year': '1905', 'category': 'physics', 'share': '1', 'motivation': '""for his work on cathode rays""', 'affiliations': [{'name': 'Kiel University', 'city': 'Kiel', 'country': 'Germany'}]}]"
8,10,J.J.,Thomson,1856-12-18,1940-08-30,United Kingdom,GB,Cheetham Hill,United Kingdom,GB,Cambridge,male,"[{'year': '1906', 'category': 'physics', 'share': '1', 'motivation': '""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]"
9,11,Albert A.,Michelson,1852-12-19,1931-05-09,Prussia (now Poland),PL,Strelno (now Strzelno),USA,US,"Pasadena, CA",male,"[{'year': '1907', 'category': 'physics', 'share': '1', 'motivation': '""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""', 'affiliations': [{'name': 'University of Chicago', 'city': 'Chicago, IL', 'country': 'USA'}]}]"
10,12,Gabriel,Lippmann,1845-08-16,1921-07-13,Luxembourg,LU,Hollerich,,,,male,"[{'year': '1908', 'category': 'physics', 'share': '1', 'motivation': '""for his method of reproducing colours photographically based on the phenomenon of interference""', 'affiliations': [{'name': 'Sorbonne University', 'city': 'Paris', 'country': 'France'}]}]"
11,13,Guglielmo,Marconi,1874-04-25,1937-07-20,Italy,IT,Bologna,Italy,IT,Rome,male,"[{'year': '1909', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of their contributions to the development of wireless telegraphy""', 'affiliations': [{'name': 'Marconi Wireless Telegraph Co. Ltd.', 'city': 'London', 'country': 'United Kingdom'}]}]"
12,14,Ferdinand,Braun,1850-06-06,1918-04-20,Hesse-Kassel (now Germany),DE,Fulda,USA,US,"Brooklyn, NY",male,"[{'year': '1909', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of their contributions to the development of wireless telegraphy""', 'affiliations': [{'name': 'Strasbourg University', 'city': 'Strasbourg', 'country': 'Germany (now France)'}]}]"
13,15,Johannes Diderik,van der Waals,1837-11-23,1923-03-08,the Netherlands,NL,Leiden,the Netherlands,NL,Amsterdam,male,"[{'year': '1910', 'category': 'physics', 'share': '1', 'motivation': '""for his work on the equation of state for gases and liquids""', 'affiliations': [{'name': 'Amsterdam University', 'city': 'Amsterdam', 'country': 'the Netherlands'}]}]"
14,16,Wilhelm,Wien,1864-01-13,1928-08-30,Prussia (now Russia),RU,Gaffken (now Parusnoye),Germany,DE,Munich,male,"[{'year': '1911', 'category': 'physics', 'share': '1', 'motivation': '""for his discoveries regarding the laws governing the radiation of heat""', 'affiliations': [{'name': 'Würzburg University', 'city': 'Würzburg', 'country': 'Germany'}]}]"
15,17,Gustaf,Dalén,1869-11-30,1937-12-09,Sweden,SE,Stenstorp,Sweden,SE,Stockholm,male,"[{'year': '1912', 'category': 'physics', 'share': '1', 'motivation': '""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""', 'affiliations': [{'name': 'Swedish Gas-Accumulator Co.', 'city': 'Lidingö, Stockholm', 'country': 'Sweden'}]}]"
16,18,Heike,Kamerlingh Onnes,1853-09-21,1926-02-21,the Netherlands,NL,Groningen,the Netherlands,NL,Leiden,male,"[{'year': '1913', 'category': 'physics', 'share': '1', 'motivation': '""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""', 'affiliations': [{'name': 'Leiden University', 'city': 'Leiden', 'country': 'the Netherlands'}]}]"
17,19,Max,von Laue,1879-10-09,1960-04-23,Germany,DE,Pfaffendorf,West Germany (now Germany),DE,Berlin,male,"[{'year': '1914', 'category': 'physics', 'share': '1', 'motivation': '""for his discovery of the diffraction of X-rays by crystals""', 'affiliations': [{'name': 'Frankfurt-on-the-Main University', 'city': 'Frankfurt-on-the-Main', 'country': 'Germany'}]}]"
18,20,William,Bragg,1862-07-02,1942-03-12,United Kingdom,GB,Wigton,United Kingdom,GB,London,male,"[{'year': '1915', 'category': 'physics', 'share': '2', 'motivation': '""for their services in the analysis of crystal structure by means of X-rays""', 'affiliations': [{'name': 'University College', 'city': 'London', 'country': 'United Kingdom'}]}]"
19,21,Lawrence,Bragg,1890-03-31,1971-07-01,Australia,AU,Adelaide,United Kingdom,GB,Ipswich,male,"[{'year': '1915', 'category': 'physics', 'share': '2', 'motivation': '""for their services in the analysis of crystal structure by means of X-rays""', 'affiliations': [{'name': 'Victoria University', 'city': 'Manchester', 'country': 'United Kingdom'}]}]"
20,22,Charles Glover,Barkla,1877-06-07,1944-10-23,United Kingdom,GB,Widnes,Scotland,GB,Edinburgh,male,"[{'year': '1917', 'category': 'physics', 'share': '1', 'motivation': '""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""', 'affiliations': [{'name': 'Edinburgh University', 'city': 'Edinburgh', 'country': 'United Kingdom'}]}]"
21,23,Max,Planck,1858-04-23,1947-10-04,Schleswig (now Germany),DE,Kiel,West Germany (now Germany),DE,Göttingen,male,"[{'year': '1918', 'category': 'physics', 'share': '1', 'motivation': '""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""', 'affiliations': [{'name': 'Berlin University', 'city': 'Berlin', 'country': 'Germany'}]}]"
22,24,Johannes,Stark,1874-04-15,1957-06-21,Germany,DE,Schickenhof,West Germany (now Germany),DE,Traunstein,male,"[{'year': '1919', 'category': 'physics', 'share': '1', 'motivation': '""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""', 'affiliations': [{'name': 'Greifswald University', 'city': 'Greifswald', 'country': 'Germany'}]}]"
23,25,Charles Edouard,Guillaume,1861-02-15,1938-06-13,Switzerland,CH,Fleurier,France,FR,Sèvres,male,"[{'year': '1920', 'category': 'physics', 'share': '1', 'motivation': '""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""', 'affiliations': [{'name': 'Bureau International des Poids et Mesures (International Bureau of Weights and Measures)', 'city': 'Sèvres', 'country': 'France'}]}]"
24,26,Albert,Einstein,1879-03-14,1955-04-18,Germany,DE,Ulm,USA,US,"Princeton, NJ",male,"[{'year': '1921', 'category': 'physics', 'share': '1', 'motivation': '""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""', 'affiliations': [{'name': 'Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik', 'city': 'Berlin', 'country': 'Germany'}]}]"
25,27,Niels,Bohr,1885-10-07,1962-11-18,Denmark,DK,Copenhagen,Denmark,DK,Copenhagen,male,"[{'year': '1922', 'category': 'physics', 'share': '1', 'motivation': '""for his services in the investigation of the structure of atoms and of the radiation emanating from them""', 'affiliations': [{'name': 'Copenhagen University', 'city': 'Copenhagen', 'country': 'Denmark'}]}]"
26,28,Robert A.,Millikan,1868-03-22,1953-12-19,USA,US,"Morrison, IL",USA,US,"San Marino, CA",male,"[{'year': '1923', 'category': 'physics', 'share': '1', 'motivation': '""for his work on the elementary charge of electricity and on the photoelectric effect""', 'affiliations': [{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]}]"
27,29,Manne,Siegbahn,1886-12-03,1978-09-26,Sweden,SE,Örebro,Sweden,SE,Stockholm,male,"[{'year': '1924', 'category': 'physics', 'share': '1', 'motivation': '""for his discoveries and research in the field of X-ray spectroscopy""', 'affiliations': [{'name': 'Uppsala University', 'city': 'Uppsala', 'country': 'Sweden'}]}]"
28,30,James,Franck,1882-08-26,1964-05-21,Germany,DE,Hamburg,West Germany (now Germany),DE,Göttingen,male,"[{'year': '1925', 'category': 'physics', 'share': '2', 'motivation': '""for their discovery of the laws governing the impact of an electron upon an atom""', 'affiliations': [{'name': 'Goettingen University', 'city': 'Göttingen', 'country': 'Germany'}]}]"
29,31,Gustav,Hertz,1887-07-22,1975-10-30,Germany,DE,Hamburg,East Germany (now Germany),DE,Berlin,male,"[{'year': '1925', 'category': 'physics', 'share': '2', 'motivation': '""for their discovery of the laws governing the impact of an electron upon an atom""', 'affiliations': [{'name': 'Halle University', 'city': 'Halle', 'country': 'Germany'}]}]"
30,32,Jean Baptiste,Perrin,1870-09-30,1942-04-17,France,FR,Lille,USA,US,"New York, NY",male,"[{'year': '1926', 'category': 'physics', 'share': '1', 'motivation': '""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium""', 'affiliations': [{'name': 'Sorbonne University', 'city': 'Paris', 'country': 'France'}]}]"
31,33,Arthur H.,Compton,1892-09-10,1962-03-15,USA,US,"Wooster, OH",USA,US,"Berkeley, CA",male,"[{'year': '1927', 'category': 'physics', 'share': '2', 'motivation': '""for his discovery of the effect named after him""', 'affiliations': [{'name': 'University of Chicago', 'city': 'Chicago, IL', 'country': 'USA'}]}]"
32,34,C.T.R.,Wilson,1869-02-14,1959-11-15,Scotland,GB,Glencorse,Scotland,GB,Carlops,male,"[{'year': '1927', 'category': 'physics', 'share': '2', 'motivation': '""for his method of making the paths of electrically charged particles visible by condensation of vapour""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]"
33,35,Owen Willans,Richardson,1879-04-26,1959-02-15,United Kingdom,GB,Dewsbury,United Kingdom,GB,Alton,male,"[{'year': '1928', 'category': 'physics', 'share': '1', 'motivation': '""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""', 'affiliations': [{'name': 'London University', 'city': 'London', 'country': 'United Kingdom'}]}]"
34,36,Louis,de Broglie,1892-08-15,1987-03-19,France,FR,Dieppe,France,FR,Paris,male,"[{'year': '1929', 'category': 'physics', 'share': '1', 'motivation': '""for his discovery of the wave nature of electrons""', 'affiliations': [{'name': 'Sorbonne University, Institut Henri Poincaré', 'city': 'Paris', 'country': 'France'}]}]"
35,37,Sir Chandrasekhara Venkata,Raman,1888-11-07,1970-11-21,India,IN,Tiruchirappalli,India,IN,Bangalore,male,"[{'year': '1930', 'category': 'physics', 'share': '1', 'motivation': '""for his work on the scattering of light and for the discovery of the effect named after him""', 'affiliations': [{'name': 'Calcutta University', 'city': 'Calcutta', 'country': 'India'}]}]"
36,38,Werner,Heisenberg,1901-12-05,1976-02-01,Germany,DE,Würzburg,West Germany (now Germany),DE,Munich,male,"[{'year': '1932', 'category': 'physics', 'share': '1', 'motivation': '""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""', 'affiliations': [{'name': 'Leipzig University', 'city': 'Leipzig', 'country': 'Germany'}]}]"
37,39,Erwin,Schrödinger,1887-08-12,1961-01-04,Austria,AT,Vienna,Austria,AT,Vienna,male,"[{'year': '1933', 'category': 'physics', 'share': '2', 'motivation': '""for the discovery of new productive forms of atomic theory""', 'affiliations': [{'name': 'Berlin University', 'city': 'Berlin', 'country': 'Germany'}]}]"
38,40,Paul A.M.,Dirac,1902-08-08,1984-10-20,United Kingdom,GB,Bristol,USA,US,"Tallahassee, FL",male,"[{'year': '1933', 'category': 'physics', 'share': '2', 'motivation': '""for the discovery of new productive forms of atomic theory""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]"
39,41,James,Chadwick,1891-10-20,1974-07-24,United Kingdom,GB,Manchester,United Kingdom,GB,Cambridge,male,"[{'year': '1935', 'category': 'physics', 'share': '1', 'motivation': '""for the discovery of the neutron""', 'affiliations': [{'name': 'Liverpool University', 'city': 'Liverpool', 'country': 'United Kingdom'}]}]"
40,42,Victor F.,Hess,1883-06-24,1964-12-17,Austria,AT,Peggau,USA,US,"Mount Vernon, NY",male,"[{'year': '1936', 'category': 'physics', 'share': '2', 'motivation': '""for his discovery of cosmic radiation""', 'affiliations': [{'name': 'Innsbruck University', 'city': 'Innsbruck', 'country': 'Austria'}]}]"
41,43,Carl D.,Anderson,1905-09-03,1991-01-11,USA,US,"New York, NY",USA,US,"San Marino, CA",male,"[{'year': '1936', 'category': 'physics', 'share': '2', 'motivation': '""for his discovery of the positron""', 'affiliations': [{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]}]"
42,44,Clinton,Davisson,1881-10-22,1958-02-01,USA,US,"Bloomington, IL",USA,US,"Charlottesville, VA",male,"[{'year': '1937', 'category': 'physics', 'share': '2', 'motivation': '""for their experimental discovery of the diffraction of electrons by crystals""', 'affiliations': [{'name': 'Bell Telephone Laboratories', 'city': 'New York, NY', 'country': 'USA'}]}]"
43,45,George Paget,Thomson,1892-05-03,1975-09-10,United Kingdom,GB,Cambridge,United Kingdom,GB,Cambridge,male,"[{'year': '1937', 'category': 'physics', 'share': '2', 'motivation': '""for their experimental discovery of the diffraction of electrons by crystals""', 'affiliations': [{'name': 'London University', 'city': 'London', 'country': 'United Kingdom'}]}]"
44,46,Enrico,Fermi,1901-09-29,1954-11-28,Italy,IT,Rome,USA,US,"Chicago, IL",male,"[{'year': '1938', 'category': 'physics', 'share': '1', 'motivation': '""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""', 'affiliations': [{'name': 'Rome University', 'city': 'Rome', 'country': 'Italy'}]}]"
45,47,Ernest,Lawrence,1901-08-08,1958-08-27,USA,US,"Canton, SD",USA,US,"Palo Alto, CA",male,"[{'year': '1939', 'category': 'physics', 'share': '1', 'motivation': '""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""', 'affiliations': [{'name': 'University of California', 'city': 'Berkeley, CA', 'country': 'USA'}]}]"
46,48,Otto,Stern,1888-02-17,1969-08-17,Germany (now Poland),PL,Sorau (now Zory),USA,US,"Berkeley, CA",male,"[{'year': '1943', 'category': 'physics', 'share': '1', 'motivation': '""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""', 'affiliations': [{'name': 'Carnegie Institute of Technology', 'city': 'Pittsburgh, PA', 'country': 'USA'}]}]"
47,49,Isidor Isaac,Rabi,1898-07-29,1988-01-11,Austria-Hungary (now Poland),PL,Rymanow,USA,US,"New York, NY",male,"[{'year': '1944', 'category': 'physics', 'share': '1', 'motivation': '""for his resonance method for recording the magnetic properties of atomic nuclei""', 'affiliations': [{'name': 'Columbia University', 'city': 'New York, NY', 'country': 'USA'}]}]"
48,50,Wolfgang,Pauli,1900-04-25,1958-12-15,Austria,AT,Vienna,Switzerland,CH,Zurich,male,"[{'year': '1945', 'category': 'physics', 'share': '1', 'motivation': '""for the discovery of the Exclusion Principle, also called the Pauli Principle""', 'affiliations': [{'name': 'Princeton University', 'city': 'Princeton, NJ', 'country': 'USA'}]}]"
49,51,Percy W.,Bridgman,1882-04-21,1961-08-20,USA,US,"Cambridge, MA",USA,US,"Randolph, NH",male,"[{'year': '1946', 'category': 'physics', 'share': '1', 'motivation': '""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""', 'affiliations': [{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]}]"
50,52,Edward V.,Appleton,1892-09-06,1965-04-21,United Kingdom,GB,Bradford,Scotland,GB,Edinburgh,male,"[{'year': '1947', 'category': 'physics', 'share': '1', 'motivation': '""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""', 'affiliations': [{'name': 'Department of Scientific and Industrial Research', 'city': 'London', 'country': 'United Kingdom'}]}]"
51,53,Patrick M.S.,Blackett,1897-11-18,1974-07-13,United Kingdom,GB,London,United Kingdom,GB,London,male,"[{'year': '1948', 'category': 'physics', 'share': '1', 'motivation': '""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""', 'affiliations': [{'name': 'Victoria University', 'city': 'Manchester', 'country': 'United Kingdom'}]}]"
52,54,Hideki,Yukawa,1907-01-23,1981-09-08,Japan,JP,Tokyo,Japan,JP,Kyoto,male,"[{'year': '1949', 'category': 'physics', 'share': '1', 'motivation': '""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""', 'affiliations': [{'name': 'Columbia University', 'city': 'New York, NY', 'country': 'USA'}, {'name': 'Kyoto University', 'city': 'Kyoto', 'country': 'Japan'}]}]"
53,55,Cecil,Powell,1903-12-05,1969-08-09,United Kingdom,GB,Tonbridge,Italy,IT,,male,"[{'year': '1950', 'category': 'physics', 'share': '1', 'motivation': '""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""', 'affiliations': [{'name': 'Bristol University', 'city': 'Bristol', 'country': 'United Kingdom'}]}]"
54,56,John,Cockcroft,1897-05-27,1967-09-18,United Kingdom,GB,Todmorden,United Kingdom,GB,Cambridge,male,"[{'year': '1951', 'category': 'physics', 'share': '2', 'motivation': '""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""', 'affiliations': [{'name': 'Atomic Energy Research Establishment', 'city': 'Harwell, Berkshire', 'country': 'United Kingdom'}]}]"
55,57,Ernest T.S.,Walton,1903-10-06,1995-06-25,Ireland,IE,Dungarvan,Northern Ireland,GB,Belfast,male,"[{'year': '1951', 'category': 'physics', 'share': '2', 'motivation': '""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""', 'affiliations': [{'name': 'Trinity College', 'city': 'Dublin', 'country': 'Ireland'}]}]"
56,58,Felix,Bloch,1905-10-23,1983-09-10,Switzerland,CH,Zurich,Switzerland,CH,Zurich,male,"[{'year': '1952', 'category': 'physics', 'share': '2', 'motivation': '""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""', 'affiliations': [{'name': 'Stanford University', 'city': 'Stanford, CA', 'country': 'USA'}]}]"
57,59,E. M.,Purcell,1912-08-30,1997-03-07,USA,US,"Taylorville, IL",USA,US,"Cambridge, MA",male,"[{'year': '1952', 'category': 'physics', 'share': '2', 'motivation': '""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""', 'affiliations': [{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]}]"
58,60,Frits,Zernike,1888-07-16,1966-03-10,the Netherlands,NL,Amsterdam,the Netherlands,NL,Groningen,male,"[{'year': '1953', 'category': 'physics', 'share': '1', 'motivation': '""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""', 'affiliations': [{'name': 'Groningen University', 'city': 'Groningen', 'country': 'the Netherlands'}]}]"
59,61,Max,Born,1882-12-11,1970-01-05,Germany (now Poland),PL,Breslau (now Wroclaw),West Germany (now Germany),DE,Göttingen,male,"[{'year': '1954', 'category': 'physics', 'share': '2', 'motivation': '""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""', 'affiliations': [{'name': 'Edinburgh University', 'city': 'Edinburgh', 'country': 'United Kingdom'}]}]"
60,62,Walther,Bothe,1891-01-08,1957-02-08,Germany,DE,Oranienburg,West Germany (now Germany),DE,Heidelberg,male,"[{'year': '1954', 'category': 'physics', 'share': '2', 'motivation': '""for the coincidence method and his discoveries made therewith""', 'affiliations': [{'name': 'University of Heidelberg', 'city': 'Heidelberg', 'country': 'Germany'}, {'name': 'Max-Planck-Institut für medizinische Forschung', 'city': 'Heidelberg', 'country': 'Germany'}]}]"
61,63,Willis E.,Lamb,1913-07-12,2008-05-15,USA,US,"Los Angeles, CA",USA,US,"Tucson, AZ",male,"[{'year': '1955', 'category': 'physics', 'share': '2', 'motivation': '""for his discoveries concerning the fine structure of the hydrogen spectrum""', 'affiliations': [{'name': 'Stanford University', 'city': 'Stanford, CA', 'country': 'USA'}]}]"
62,64,Polykarp,Kusch,1911-01-26,1993-03-20,Germany,DE,Blankenburg,USA,US,"Dallas, TX",male,"[{'year': '1955', 'category': 'physics', 'share': '2', 'motivation': '""for his precision determination of the magnetic moment of the electron""', 'affiliations': [{'name': 'Columbia University', 'city': 'New York, NY', 'country': 'USA'}]}]"
63,65,William B.,Shockley,1910-02-13,1989-08-12,United Kingdom,GB,London,USA,US,"Palo Alto, CA",male,"[{'year': '1956', 'category': 'physics', 'share': '3', 'motivation': '""for their researches on semiconductors and their discovery of the transistor effect""', 'affiliations': [{'name': 'Semiconductor Laboratory of Beckman Instruments, Inc.', 'city': 'Mountain View, CA', 'country': 'USA'}]}]"
64,66,John,Bardeen,1908-05-23,1991-01-30,USA,US,"Madison, WI",USA,US,"Boston, MA",male,"[{'year': '1956', 'category': 'physics', 'share': '3', 'motivation': '""for their researches on semiconductors and their discovery of the transistor effect""', 'affiliations': [{'name': 'University of Illinois', 'city': 'Urbana, IL', 'country': 'USA'}]}, {'year': '1972', 'category': 'physics', 'share': '3', 'motivation': '""for their jointly developed theory of superconductivity, usually called the BCS-theory""', 'affiliations': [{'name': 'University of Illinois', 'city': 'Urbana, IL', 'country': 'USA'}]}]"
65,67,Walter H.,Brattain,1902-02-10,1987-10-13,China,CN,Amoy,USA,US,"Seattle, WA",male,"[{'year': '1956', 'category': 'physics', 'share': '3', 'motivation': '""for their researches on semiconductors and their discovery of the transistor effect""', 'affiliations': [{'name': 'Bell Telephone Laboratories', 'city': 'Murray Hill, NJ', 'country': 'USA'}]}]"
66,68,Chen Ning,Yang,1922-09-22,0000-00-00,China,CN,"Hofei, Anhwei",,,,male,"[{'year': '1957', 'category': 'physics', 'share': '2', 'motivation': '""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""', 'affiliations': [{'name': 'Institute for Advanced Study', 'city': 'Princeton, NJ', 'country': 'USA'}]}]"
67,69,Tsung-Dao,Lee,1926-11-24,0000-00-00,China,CN,Shanghai,,,,male,"[{'year': '1957', 'category': 'physics', 'share': '2', 'motivation': '""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""', 'affiliations': [{'name': 'Columbia University', 'city': 'New York, NY', 'country': 'USA'}]}]"
68,70,Pavel A.,Cherenkov,1904-07-28,1990-01-06,Russia,RU,Novaya Chigla,USSR (now Russia),RU,,male,"[{'year': '1958', 'category': 'physics', 'share': '3', 'motivation': '""for the discovery and the interpretation of the Cherenkov effect""', 'affiliations': [{'name': 'P.N. Lebedev Physical Institute', 'city': 'Moscow', 'country': 'USSR (now Russia)'}]}]"
69,71,Igor Y.,Tamm,1895-07-08,1971-04-12,Russia,RU,Vladivostok,USSR (now Russia),RU,Moscow,male,"[{'year': '1958', 'category': 'physics', 'share': '3', 'motivation': '""for the discovery and the interpretation of the Cherenkov effect""', 'affiliations': [{'name': 'Lomonosov Moscow State University', 'city': 'Moscow', 'country': 'USSR (now Russia)'}, {'name': 'P.N. Lebedev Physical Institute', 'city': 'Moscow', 'country': 'USSR (now Russia)'}]}]"
70,72,Emilio,Segrè,1905-02-01,1989-04-22,Italy,IT,Tivoli,USA,US,"Lafayette, CA",male,"[{'year': '1959', 'category': 'physics', 'share': '2', 'motivation': '""for their discovery of the antiproton""', 'affiliations': [{'name': 'University of California', 'city': 'Berkeley, CA', 'country': 'USA'}]}]"
71,73,Owen,Chamberlain,1920-07-10,2006-02-28,USA,US,"San Francisco, CA",USA,US,"Berkeley, CA",male,"[{'year': '1959', 'category': 'physics', 'share': '2', 'motivation': '""for their discovery of the antiproton""', 'affiliations': [{'name': 'University of California', 'city': 'Berkeley, CA', 'country': 'USA'}]}]"
72,74,Donald A.,Glaser,1926-09-21,2013-02-28,USA,US,"Cleveland, OH",USA,US,"Berkeley, CA",male,"[{'year': '1960', 'category': 'physics', 'share': '1', 'motivation': '""for the invention of the bubble chamber""', 'affiliations': [{'name': 'University of California', 'city': 'Berkeley, CA', 'country': 'USA'}]}]"
73,75,Robert,Hofstadter,1915-02-05,1990-11-17,USA,US,"New York, NY",USA,US,"Stanford, CA",male,"[{'year': '1961', 'category': 'physics', 'share': '2', 'motivation': '""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""', 'affiliations': [{'name': 'Stanford University', 'city': 'Stanford, CA', 'country': 'USA'}]}]"
74,76,Rudolf,Mössbauer,1929-01-31,2011-09-14,Germany,DE,Munich,,,,male,"[{'year': '1961', 'category': 'physics', 'share': '2', 'motivation': '""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""', 'affiliations': [{'name': 'Technical University', 'city': 'Munich', 'country': 'Germany'}, {'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]}]"
75,77,Lev,Landau,1908-01-22,1968-04-01,Russian Empire (now Azerbaijan),AZ,Baku,USSR (now Russia),RU,Moscow,male,"[{'year': '1962', 'category': 'physics', 'share': '1', 'motivation': '""for his pioneering theories for condensed matter, especially liquid helium""', 'affiliations': [{'name': 'Academy of Sciences', 'city': 'Moscow', 'country': 'USSR (now Russia)'}]}]"
