,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,prizes
798,824,Françoise,Barré-Sinoussi,1947-07-30,0000-00-00,France,FR,Paris,,,,female,"[{'year': '2008', 'category': 'medicine', 'share': '4', 'motivation': '""for their discovery of human immunodeficiency virus""', 'affiliations': [{'name': 'Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur', 'city': 'Paris', 'country': 'France'}]}]"
799,825,Luc,Montagnier,1932-08-18,2022-02-08,France,FR,Chabris,France,FR,Paris,male,"[{'year': '2008', 'category': 'medicine', 'share': '4', 'motivation': '""for their discovery of human immunodeficiency virus""', 'affiliations': [{'name': 'World Foundation for AIDS Research and Prevention', 'city': 'Paris', 'country': 'France'}]}]"
800,826,Yoichiro,Nambu,1921-01-18,2015-07-05,Japan,JP,Tokyo,Japan,JP,Osaka,male,"[{'year': '2008', 'category': 'physics', 'share': '2', 'motivation': '""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""', 'affiliations': [{'name': 'Enrico Fermi Institute, University of Chicago', 'city': 'Chicago, IL', 'country': 'USA'}]}]"
801,827,Makoto,Kobayashi,1944-04-07,0000-00-00,Japan,JP,Nagoya,,,,male,"[{'year': '2008', 'category': 'physics', 'share': '4', 'motivation': '""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""', 'affiliations': [{'name': 'High Energy Accelerator Research Organization (KEK)', 'city': 'Tsukuba', 'country': 'Japan'}]}]"
802,828,Toshihide,Maskawa,1940-02-07,2021-07-23,Japan,JP,Nagoya,Japan,JP,Kyoto,male,"[{'year': '2008', 'category': 'physics', 'share': '4', 'motivation': '""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""', 'affiliations': [{'name': 'Kyoto Sangyo University', 'city': 'Kyoto', 'country': 'Japan'}, {'name': 'Yukawa Institute for Theoretical Physics (YITP), Kyoto University', 'city': 'Kyoto', 'country': 'Japan'}]}]"
803,829,Osamu,Shimomura,1928-08-27,2018-10-19,Japan,JP,Kyoto,Japan,JP,Nagasaki,male,"[{'year': '2008', 'category': 'chemistry', 'share': '3', 'motivation': '""for the discovery and development of the green fluorescent protein, GFP""', 'affiliations': [{'name': 'Marine Biological Laboratory (MBL)', 'city': 'Woods Hole, MA', 'country': 'USA'}, {'name': 'Boston University Medical School', 'city': 'Massachusetts, MA', 'country': 'USA'}]}]"
804,830,Martin,Chalfie,1947-01-15,0000-00-00,USA,US,"Chicago, IL",,,,male,"[{'year': '2008', 'category': 'chemistry', 'share': '3', 'motivation': '""for the discovery and development of the green fluorescent protein, GFP""', 'affiliations': [{'name': 'Columbia University', 'city': 'New York, NY', 'country': 'USA'}]}]"
805,831,Roger Y.,Tsien,1952-02-01,2016-08-24,USA,US,"New York, NY",USA,US,"Eugene, OR",male,"[{'year': '2008', 'category': 'chemistry', 'share': '3', 'motivation': '""for the discovery and development of the green fluorescent protein, GFP""', 'affiliations': [{'name': 'University of California', 'city': 'San Diego, CA', 'country': 'USA'}, {'name': 'Howard Hughes Medical Institute'}]}]"
806,832,Jean-Marie Gustave,Le Clézio,1940-04-13,0000-00-00,France,FR,Nice,,,,male,"[{'year': '2008', 'category': 'literature', 'share': '1', 'motivation': '""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization""', 'affiliations': [[]]}]"
807,833,Martti,Ahtisaari,1937-06-23,0000-00-00,Finland,FI,Viipuri (now Vyborg),,,,male,"[{'year': '2008', 'category': 'peace', 'share': '1', 'motivation': '""for his important efforts, on several continents and over more than three decades, to resolve international conflicts""', 'affiliations': [[]]}]"
808,834,Paul,Krugman,1953-02-28,0000-00-00,USA,US,"New York, NY",,,,male,"[{'year': '2008', 'category': 'economics', 'share': '1', 'motivation': '""for his analysis of trade patterns and location of economic activity""', 'affiliations': [{'name': 'Princeton University', 'city': 'Princeton, NJ', 'country': 'USA'}]}]"
809,835,Elizabeth H.,Blackburn,1948-11-26,0000-00-00,Australia,AU,"Hobart, Tasmania",,,,female,"[{'year': '2009', 'category': 'medicine', 'share': '3', 'motivation': '""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""', 'affiliations': [{'name': 'University of California', 'city': 'San Francisco, CA', 'country': 'USA'}]}]"
810,836,Carol W.,Greider,1961-04-15,0000-00-00,USA,US,"San Diego, CA",,,,female,"[{'year': '2009', 'category': 'medicine', 'share': '3', 'motivation': '""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""', 'affiliations': [{'name': 'Johns Hopkins University School of Medicine', 'city': 'Baltimore, MD', 'country': 'USA'}]}]"
811,837,Jack W.,Szostak,1952-11-09,0000-00-00,United Kingdom,GB,London,,,,male,"[{'year': '2009', 'category': 'medicine', 'share': '3', 'motivation': '""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""', 'affiliations': [{'name': 'Harvard Medical School', 'city': 'Boston, MA', 'country': 'USA'}, {'name': 'Massachusetts General Hospital', 'city': 'Boston, MA', 'country': 'USA'}, {'name': 'Howard Hughes Medical Institute'}]}]"
812,838,Charles K.,Kao,1933-11-04,2018-09-23,China,CN,Shanghai,,,Hong Kong,male,"[{'year': '2009', 'category': 'physics', 'share': '2', 'motivation': '""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""', 'affiliations': [{'name': 'Standard Telecommunication Laboratories', 'city': 'Harlow', 'country': 'United Kingdom'}, {'name': 'Chinese University of Hong Kong', 'city': 'Hong Kong', 'country': 'China'}]}]"
813,839,Willard S.,Boyle,1924-08-19,2011-05-07,Canada,CA,"Amherst, NS",Canada,CA,"Truro, NS",male,"[{'year': '2009', 'category': 'physics', 'share': '4', 'motivation': '""for the invention of an imaging semiconductor circuit - the CCD sensor""', 'affiliations': [{'name': 'Bell Laboratories', 'city': 'Murray Hill, NJ', 'country': 'USA'}]}]"
814,840,George E.,Smith,1930-05-10,0000-00-00,USA,US,"White Plains, NY",,,,male,"[{'year': '2009', 'category': 'physics', 'share': '4', 'motivation': '""for the invention of an imaging semiconductor circuit - the CCD sensor""', 'affiliations': [{'name': 'Bell Laboratories', 'city': 'Murray Hill, NJ', 'country': 'USA'}]}]"
815,841,Venkatraman,Ramakrishnan,1952-00-00,0000-00-00,India,IN,"Chidambaram, Tamil Nadu",,,,male,"[{'year': '2009', 'category': 'chemistry', 'share': '3', 'motivation': '""for studies of the structure and function of the ribosome""', 'affiliations': [{'name': 'MRC Laboratory of Molecular Biology', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]"
816,842,Thomas A.,Steitz,1940-08-23,2018-08-23,USA,US,"Milwaukee, WI",USA,US,"Branford, CT",male,"[{'year': '2009', 'category': 'chemistry', 'share': '3', 'motivation': '""for studies of the structure and function of the ribosome""', 'affiliations': [{'name': 'Yale University', 'city': 'New Haven, CT', 'country': 'USA'}, {'name': 'Howard Hughes Medical Institute'}]}]"
817,843,Ada E.,Yonath,1939-06-22,0000-00-00,British Mandate of Palestine (now Israel),IL,Jerusalem,,,,female,"[{'year': '2009', 'category': 'chemistry', 'share': '3', 'motivation': '""for studies of the structure and function of the ribosome""', 'affiliations': [{'name': 'Weizmann Institute of Science', 'city': 'Rehovot', 'country': 'Israel'}]}]"
818,844,Herta,Müller,1953-08-17,0000-00-00,Romania,RO,"Nitzkydorf, Banat",,,,female,"[{'year': '2009', 'category': 'literature', 'share': '1', 'motivation': '""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""', 'affiliations': [[]]}]"
819,845,Barack,Obama,1961-08-04,0000-00-00,USA,US,"Honolulu, HI",,,,male,"[{'year': '2009', 'category': 'peace', 'share': '1', 'motivation': '""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""', 'affiliations': [[]]}]"
820,846,Elinor,Ostrom,1933-08-07,2012-06-12,USA,US,"Los Angeles, CA",USA,US,"Bloomington, IN",female,"[{'year': '2009', 'category': 'economics', 'share': '2', 'motivation': '""for her analysis of economic governance, especially the commons""', 'affiliations': [{'name': 'Indiana University', 'city': 'Bloomington, IN', 'country': 'USA'}, {'name': 'Arizona State University', 'city': 'Tempe, AZ', 'country': 'USA'}]}]"
821,847,Oliver E.,Williamson,1932-09-27,0000-00-00,USA,US,"Superior, WI",,,,male,"[{'year': '2009', 'category': 'economics', 'share': '2', 'motivation': '""for his analysis of economic governance, especially the boundaries of the firm""', 'affiliations': [{'name': 'University of California', 'city': 'Berkeley, CA', 'country': 'USA'}]}]"
822,848,Robert G.,Edwards,1925-09-27,2013-04-10,United Kingdom,GB,Batley,United Kingdom,GB,Cambridge,male,"[{'year': '2010', 'category': 'medicine', 'share': '1', 'motivation': '""for the development of in vitro fertilization""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]"
823,849,Andre,Geim,1958-10-21,0000-00-00,Russia,RU,Sochi,,,,male,"[{'year': '2010', 'category': 'physics', 'share': '2', 'motivation': '""for groundbreaking experiments regarding the two-dimensional material graphene""', 'affiliations': [{'name': 'University of Manchester', 'city': 'Manchester', 'country': 'United Kingdom'}]}]"
824,850,Konstantin,Novoselov,1974-08-23,0000-00-00,Russia,RU,Nizhny Tagil,,,,male,"[{'year': '2010', 'category': 'physics', 'share': '2', 'motivation': '""for groundbreaking experiments regarding the two-dimensional material graphene""', 'affiliations': [{'name': 'University of Manchester', 'city': 'Manchester', 'country': 'United Kingdom'}]}]"
825,851,Richard F.,Heck,1931-08-15,2015-10-09,USA,US,"Springfield, MA",Philippines,PH,Manila,male,"[{'year': '2010', 'category': 'chemistry', 'share': '3', 'motivation': '""for palladium-catalyzed cross couplings in organic synthesis""', 'affiliations': [{'name': 'University of Delaware', 'country': 'USA'}]}]"
826,852,Ei-ichi,Negishi,1935-07-14,2021-06-06,China,CN,Changchun,USA,US,"Indianapolis, IN",male,"[{'year': '2010', 'category': 'chemistry', 'share': '3', 'motivation': '""for palladium-catalyzed cross couplings in organic synthesis""', 'affiliations': [{'name': 'Purdue University', 'city': 'West Lafayette, IN', 'country': 'USA'}]}]"
827,853,Akira,Suzuki,1930-09-12,0000-00-00,Japan,JP,Mukawa,,,,male,"[{'year': '2010', 'category': 'chemistry', 'share': '3', 'motivation': '""for palladium-catalyzed cross couplings in organic synthesis""', 'affiliations': [{'name': 'Hokkaido University', 'city': 'Sapporo', 'country': 'Japan'}]}]"
828,854,Mario,Vargas Llosa,1936-03-28,0000-00-00,Peru,PE,Arequipa,,,,male,"[{'year': '2010', 'category': 'literature', 'share': '1', 'motivation': '""for his cartography of structures of power and his trenchant images of the individual\'s resistance, revolt, and defeat""', 'affiliations': [[]]}]"
829,855,Xiaobo,Liu,1955-12-28,2017-07-13,China,CN,Changchun,China,CN,Shenyang,male,"[{'year': '2010', 'category': 'peace', 'share': '1', 'motivation': '""for his long and non-violent struggle for fundamental human rights in China""', 'affiliations': [[]]}]"
830,856,Peter A.,Diamond,1940-04-29,0000-00-00,USA,US,"New York, NY",,,,male,"[{'year': '2010', 'category': 'economics', 'share': '3', 'motivation': '""for their analysis of markets with search frictions""', 'affiliations': [{'name': 'Massachusetts Institute of Technology (MIT)', 'city': 'Cambridge, MA', 'country': 'USA'}]}]"
831,857,Dale T.,Mortensen,1939-02-02,2014-01-09,USA,US,"Enterprise, OR",USA,US,"Wilmette, IL",male,"[{'year': '2010', 'category': 'economics', 'share': '3', 'motivation': '""for their analysis of markets with search frictions""', 'affiliations': [{'name': 'Northwestern University', 'city': 'Evanston, IL', 'country': 'USA'}, {'name': 'Aarhus University', 'city': 'Aarhus', 'country': 'Denmark'}]}]"
832,858,Christopher A.,Pissarides,1948-02-20,0000-00-00,Cyprus,CY,Nicosia,,,,male,"[{'year': '2010', 'category': 'economics', 'share': '3', 'motivation': '""for their analysis of markets with search frictions""', 'affiliations': [{'name': 'London School of Economics and Political Science', 'city': 'London', 'country': 'United Kingdom'}]}]"
833,861,Bruce A.,Beutler,1957-12-29,0000-00-00,USA,US,"Chicago, IL",,,,male,"[{'year': '2011', 'category': 'medicine', 'share': '4', 'motivation': '""for their discoveries concerning the activation of innate immunity""', 'affiliations': [{'name': 'University of Texas Southwestern Medical Center at Dallas', 'city': 'Dallas, TX', 'country': 'USA'}, {'name': 'The Scripps Research Institute', 'city': 'La Jolla, CA', 'country': 'USA'}]}]"
834,862,Jules A.,Hoffmann,1941-08-02,0000-00-00,Luxembourg,LU,Echternach,,,,male,"[{'year': '2011', 'category': 'medicine', 'share': '4', 'motivation': '""for their discoveries concerning the activation of innate immunity""', 'affiliations': [{'name': 'University of Strasbourg', 'city': 'Strasbourg', 'country': 'France'}]}]"
835,863,Ralph M.,Steinman,1943-01-14,2011-09-30,Canada,CA,Montreal,USA,US,"New York, NY",male,"[{'year': '2011', 'category': 'medicine', 'share': '2', 'motivation': '""for his discovery of the dendritic cell and its role in adaptive immunity""', 'affiliations': [{'name': 'Rockefeller University', 'city': 'New York, NY', 'country': 'USA'}]}]"
836,864,Saul,Perlmutter,1959-00-00,0000-00-00,USA,US,"Champaign-Urbana, IL",,,,male,"[{'year': '2011', 'category': 'physics', 'share': '2', 'motivation': '""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""', 'affiliations': [{'name': 'Lawrence Berkeley National Laboratory', 'city': 'Berkeley, CA', 'country': 'USA'}, {'name': 'University of California', 'city': 'Berkeley, CA', 'country': 'USA'}]}]"
837,865,Brian P.,Schmidt,1967-02-24,0000-00-00,USA,US,"Missoula, MT",,,,male,"[{'year': '2011', 'category': 'physics', 'share': '4', 'motivation': '""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""', 'affiliations': [{'name': 'Australian National University', 'city': 'Weston Creek', 'country': 'Australia'}]}]"
838,866,Adam G.,Riess,1969-12-16,0000-00-00,USA,US,"Washington, DC",,,,male,"[{'year': '2011', 'category': 'physics', 'share': '4', 'motivation': '""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""', 'affiliations': [{'name': 'Johns Hopkins University', 'city': 'Baltimore, MD', 'country': 'USA'}, {'name': 'Space Telescope Science Institute', 'city': 'Baltimore, MD', 'country': 'USA'}]}]"
839,867,Dan,Shechtman,1941-01-24,0000-00-00,British Mandate of Palestine (now Israel),IL,Tel Aviv,,,,male,"[{'year': '2011', 'category': 'chemistry', 'share': '1', 'motivation': '""for the discovery of quasicrystals""', 'affiliations': [{'name': 'Technion - Israel Institute of Technology', 'city': 'Haifa', 'country': 'Israel'}]}]"
840,868,Tomas,Tranströmer,1931-04-15,2015-03-26,Sweden,SE,Stockholm,Sweden,SE,Stockholm,male,"[{'year': '2011', 'category': 'literature', 'share': '1', 'motivation': '""because, through his condensed, translucent images, he gives us fresh access to reality""', 'affiliations': [[]]}]"
841,869,Ellen,Johnson Sirleaf,1938-10-29,0000-00-00,Liberia,LR,Monrovia,,,,female,"[{'year': '2011', 'category': 'peace', 'share': '3', 'motivation': '""for their non-violent struggle for the safety of women and for women\'s rights to full participation in peace-building work""', 'affiliations': [[]]}]"
842,870,Leymah,Gbowee,1972-02-01,0000-00-00,Liberia,LR,Monrovia,,,,female,"[{'year': '2011', 'category': 'peace', 'share': '3', 'motivation': '""for their non-violent struggle for the safety of women and for women\'s rights to full participation in peace-building work""', 'affiliations': [[]]}]"
843,871,Tawakkol,Karman,1979-02-07,0000-00-00,Yemen,YE,Ta'izz,,,,female,"[{'year': '2011', 'category': 'peace', 'share': '3', 'motivation': '""for their non-violent struggle for the safety of women and for women\'s rights to full participation in peace-building work""', 'affiliations': [[]]}]"
844,872,Thomas J.,Sargent,1943-07-19,0000-00-00,USA,US,"Pasadena, CA",,,,male,"[{'year': '2011', 'category': 'economics', 'share': '2', 'motivation': '""for their empirical research on cause and effect in the macroeconomy""', 'affiliations': [{'name': 'New York University', 'city': 'New York, NY', 'country': 'USA'}]}]"
845,873,Christopher A.,Sims,1942-10-21,0000-00-00,USA,US,"Washington, DC",,,,male,"[{'year': '2011', 'category': 'economics', 'share': '2', 'motivation': '""for their empirical research on cause and effect in the macroeconomy""', 'affiliations': [{'name': 'Princeton University', 'city': 'Princeton, NJ', 'country': 'USA'}]}]"
846,874,Sir John B.,Gurdon,1933-10-02,0000-00-00,United Kingdom,GB,Dippenhall,,,,male,"[{'year': '2012', 'category': 'medicine', 'share': '2', 'motivation': '""for the discovery that mature cells can be reprogrammed to become pluripotent""', 'affiliations': [{'name': 'Gurdon Institute', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]"
847,875,Shinya,Yamanaka,1962-09-04,0000-00-00,Japan,JP,Osaka,,,,male,"[{'year': '2012', 'category': 'medicine', 'share': '2', 'motivation': '""for the discovery that mature cells can be reprogrammed to become pluripotent""', 'affiliations': [{'name': 'Kyoto University', 'city': 'Kyoto', 'country': 'Japan'}, {'name': 'Gladstone Institutes', 'city': 'San Francisco, CA', 'country': 'USA'}]}]"
848,876,Serge,Haroche,1944-09-11,0000-00-00,Morocco,MA,Casablanca,,,,male,"[{'year': '2012', 'category': 'physics', 'share': '2', 'motivation': '""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""', 'affiliations': [{'name': 'Collège de France', 'city': 'Paris', 'country': 'France'}, {'name': 'École Normale Supérieure', 'city': 'Paris', 'country': 'France'}]}]"
849,877,David J.,Wineland,1944-02-24,0000-00-00,USA,US,"Milwaukee, WI",,,,male,"[{'year': '2012', 'category': 'physics', 'share': '2', 'motivation': '""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""', 'affiliations': [{'name': 'National Institute of Standards and Technology', 'city': 'Boulder, CO', 'country': 'USA'}, {'name': 'University of Colorado', 'city': 'Boulder, CO', 'country': 'USA'}]}]"
850,878,Robert J.,Lefkowitz,1943-04-15,0000-00-00,USA,US,"New York, NY",,,,male,"[{'year': '2012', 'category': 'chemistry', 'share': '2', 'motivation': '""for studies of G-protein-coupled receptors""', 'affiliations': [{'name': 'Howard Hughes Medical Institute'}, {'name': 'Duke University Medical Center', 'city': 'Durham, NC', 'country': 'USA'}]}]"
851,879,Brian,Kobilka,1955-05-30,0000-00-00,USA,US,"Little Falls, MN",,,,male,"[{'year': '2012', 'category': 'chemistry', 'share': '2', 'motivation': '""for studies of G-protein-coupled receptors""', 'affiliations': [{'name': 'Stanford University School of Medicine', 'city': 'Stanford, CA', 'country': 'USA'}]}]"
852,880,Mo,Yan,1955-02-02,0000-00-00,China,CN,Gaomi,,,,male,"[{'year': '2012', 'category': 'literature', 'share': '1', 'motivation': '""who with hallucinatory realism merges folk tales, history and the contemporary""', 'affiliations': [[]]}]"
853,881,European Union,,1952-00-00,0000-00-00,,,,,,,org,"[{'year': '2012', 'category': 'peace', 'share': '1', 'motivation': '""for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe""', 'affiliations': [[]]}]"
854,882,Alvin E.,Roth,1951-12-18,0000-00-00,USA,US,"New York, NY",,,,male,"[{'year': '2012', 'category': 'economics', 'share': '2', 'motivation': '""for the theory of stable allocations and the practice of market design""', 'affiliations': [{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}, {'name': 'Harvard Business School', 'city': 'Boston, MA', 'country': 'USA'}]}]"
855,883,Lloyd S.,Shapley,1923-06-02,2016-03-12,USA,US,"Cambridge, MA",USA,US,"Tucson, AZ",male,"[{'year': '2012', 'category': 'economics', 'share': '2', 'motivation': '""for the theory of stable allocations and the practice of market design""', 'affiliations': [{'name': 'University of California', 'city': 'Los Angeles, CA', 'country': 'USA'}]}]"
856,884,James E.,Rothman,1950-11-03,0000-00-00,USA,US,"Haverhill, MA",,,,male,"[{'year': '2013', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""', 'affiliations': [{'name': 'Yale University', 'city': 'New Haven, CT', 'country': 'USA'}]}]"
857,885,Randy W.,Schekman,1948-12-30,0000-00-00,USA,US,"St. Paul, MN",,,,male,"[{'year': '2013', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""', 'affiliations': [{'name': 'University of California', 'city': 'Berkeley, CA', 'country': 'USA'}, {'name': 'Howard Hughes Medical Institute'}]}]"
858,886,Thomas C.,Südhof,1955-12-22,0000-00-00,Germany,DE,Göttingen,,,,male,"[{'year': '2013', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""', 'affiliations': [{'name': 'Stanford University', 'city': 'Stanford, CA', 'country': 'USA'}, {'name': 'Howard Hughes Medical Institute'}]}]"
859,887,François,Englert,1932-11-06,0000-00-00,Belgium,BE,Etterbeek,,,,male,"[{'year': '2013', 'category': 'physics', 'share': '2', 'motivation': '""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN\'s Large Hadron Collider""', 'affiliations': [{'name': 'Université Libre de Bruxelles', 'city': 'Brussels', 'country': 'Belgium'}]}]"
